feature,importance
rank_difference,0.4372513655748559
recent_form_diff,0.08313364329518416
age_difference,0.050450712582172166
career_win_rate_diff,0.03049570173591832
player1_rank,0.029453652479404773
hard_win_rate_diff,0.02673357735009268
player1_age,0.02586574301359714
player2_career_win_rate,0.025561657686183497
player2_career_wins,0.02144972037636732
player2_age,0.02086671088848919
player1_career_wins,0.017390811797898892
player1_career_win_rate,0.01708190116580041
clay_win_rate_diff,0.015567831960856982
player2_career_matches,0.01217106908423055
player1_hard_win_rate,0.011857945551116836
player2_rank,0.011583680429643339
player2_ht,0.010604760901605954
player2_hard_win_rate,0.010549899134221202
height_difference,0.009871581363844894
player1_career_matches,0.009491732088599287
player2_hard_matches,0.009336555215522672
player1_clay_matches,0.007658989534932524
player1_hard_wins,0.0076570937141224905
player2_clay_matches,0.007309340247653273
player2_clay_win_rate,0.007107500555285568
player1_clay_win_rate,0.005453116366384269
player1_hard_matches,0.005363326602246018
player1_recent_form,0.0049228623717817235
player2_clay_wins,0.004681530517322983
player1_recent_matches,0.004631791611221175
player1_ht,0.004123381826396443
player2_recent_form,0.0033277528471513415
player1_grass_win_rate,0.0028873927474457484
player2_h2h_win_rate,0.0027033326070573975
grass_win_rate_diff,0.0026469229650530504
player1_entry_Direct,0.0026445956830331123
draw_size,0.0026031881256494897
player1_clay_wins,0.0024174723662060416
player2_hard_wins,0.0023957049380146297
player1_h2h_wins,0.002309599029213616
player1_entry_Alt,0.0022177285459027067
player2_recent_matches,0.00204143477240686
h2h_matches,0.002021394909401582
h2h_win_rate_diff,0.0019416733163156751
player2_entry_Alt,0.001931554291646869
player2_entry_WC,0.001758508305592031
player1_entry_WC,0.0013656717172916436
round_R16,0.001331939390388686
round_R32,0.0013249067111236628
player2_entry_PR,0.001291796322221566
player2_entry_LL,0.0011255847646615418
tourney_level_G,0.0009626775005384583
tourney_level_C,0.000901588706910972
player1_hand_U,0.0008744776565571317
player1_entry_Q,0.0008155526584811014
player1_grass_matches,0.0007292996572521106
player1_h2h_win_rate,0.0007145854916586669
player2_entry_Q,0.0006724125618335471
player1_hand_R,0.0006115263297722407
round_F,0.000576170497830868
player2_grass_win_rate,0.0005669557922708987
tourney_level_M,0.0005568832616225773
tourney_level_D,0.0005536670408460458
player2_h2h_wins,0.0005332002439194952
round_QF,0.00047621317007248633
round_Q2,0.0004258128501333177
round_R128,0.0004070707433908663
player1_hand_L,0.0004019998433296831
player1_entry_A,0.00034230139115819464
player2_grass_matches,0.00032515234024212386
player1_entry_ITF,0.00032281484702920924
player2_hand_R,0.0001843161337005663
best_of,7.797990271947058e-05
player1_rank_imputed,0.0
player2_rank_imputed,0.0
player2_entry_ITF,0.0
player2_entry_P,0.0
player2_hand_L,0.0
player2_hand_U,0.0
player1_entry_2) A,0.0
round_Q3,0.0
player2_entry_6),0.0
player2_entry_6) A,0.0
player2_entry_A,0.0
player2_entry_AL,0.0
player2_entry_ALT,0.0
player2_entry_Direct,0.0
tourney_level_F,0.0
tourney_level_O,0.0
round_Q1,0.0
player2_entry_I,0.0
round_R64,0.0
round_RR,0.0
round_SF,0.0
player1_entry_S,0.0
player1_entry_SE,0.0
player1_entry_UP,0.0
player1_entry_W,0.0
player2_entry_2) A,0.0
player2_entry_3),0.0
player1_entry_I,0.0
player1_entry_J,0.0
player1_entry_LL,0.0
player1_entry_P,0.0
player1_entry_PR,0.0
player1_grass_wins,0.0
player1_entry_3),0.0
player1_entry_5) A,0.0
player1_entry_6),0.0
player1_entry_6) A,0.0
player2_entry_S,0.0
player2_entry_SE,0.0
player2_entry_UP,0.0
player2_entry_W,0.0
surface_Clay,0.0
surface_Grass,0.0
surface_Hard,0.0
player1_entry_8),0.0
player1_entry_AL,0.0
player1_entry_ALT,0.0
player2_grass_wins,0.0
